paper_id,rank,title,doi,url,download_status,reason
paper_02,2,Intraday Momentum in Chinese Commodity Futures Markets,10.2139/ssrn.3577431,https://doi.org/10.2139/ssrn.3577431,unavailable_ssrn_removed,SSRN removed at author/rights-holder request
paper_05,5,Liquidity and Volatility in the Chinese Commodity Futures Market: Evidence from Intraday Data,10.2139/ssrn.2626040,https://doi.org/10.2139/ssrn.2626040,unavailable_ssrn_removed,SSRN removed at author/rights-holder request
paper_16,16,Market Intraday Momentum in Japan: Evidence from the Nikkei Stock Index,10.2139/ssrn.4816793,https://doi.org/10.2139/ssrn.4816793,unavailable_ssrn_removed,SSRN removed at author/rights-holder request
paper_26,26,The Impact of Futures Trading on Intraday Spot Volatility and Liquidity: Evidence from Bitcoin Market,10.2139/ssrn.3094647,https://doi.org/10.2139/ssrn.3094647,unavailable_ssrn_removed,SSRN removed at author/rights-holder request
paper_29,29,Market microstructure of FT-SE 100 index futures: An intraday empirical analysis,10.1002/(sici)1096-9934(199902)19:1<31::aid-fut2>3.0.co;2-h,https://doi.org/10.1002/(sici)1096-9934(199902)19:1<31::aid-fut2>3.0.co;2-h,paywalled_no_open_pdf,No open-access PDF available
